Age,Attrition,BusinessTravel,DailyRate,Department,DistanceFromHome,Education,EducationField,EmployeeCount,EmployeeNumber,EnvironmentSatisfaction,Gender,HourlyRate,JobInvolvement,JobLevel,JobRole,JobSatisfaction,MaritalStatus,MonthlyIncome,MonthlyRate,NumCompaniesWorked,Over18,OverTime,PercentSalaryHike,PerformanceRating,RelationshipSatisfaction,StandardHours,StockOptionLevel,TotalWorkingYears,TrainingTimesLastYear,WorkLifeBalance,YearsAtCompany,YearsInCurrentRole,YearsSinceLastPromotion,YearsWithCurrManager
42,Yes,Travel_Frequently,992,Support,2,4,Marketing,1,31,4,Female,139,3,2,Sales Representative,1,Single,41303,660848,8,Y,Yes,29,2,1,80,4,31,5,1,25,9,14,24
29,No,Travel_Frequently,119,Sales,23,5,Human Resources,1,32,3,Female,104,4,4,Sales Executive,4,Married,19260,211860,1,Y,No,38,2,1,80,1,38,6,1,15,3,10,4
21,No,Travel_Frequently,159,Support,16,2,Medical,1,33,2,Female,112,3,5,Healthcare Representative,1,Single,45759,411831,3,Y,Yes,22,2,4,80,4,1,3,1,1,1,1,1
55,No,Non-Travel,178,Research & Development,13,3,Medical,1,34,1,Female,119,2,3,Research Director,1,Married,15422,231330,4,Y,No,18,2,4,80,1,34,5,4,27,8,19,25
32,Yes,Travel_Frequently,1495,Sales,5,5,Technical Degree,1,35,1,Male,97,4,4,Human Resources,2,Divorced,46770,748320,6,Y,No,45,4,3,80,4,29,5,1,13,5,12,8
32,No,Non-Travel,631,Research & Development,16,4,Technical Degree,1,36,3,Female,30,3,4,Manufacturing Director,3,Married,4877,4877,3,Y,Yes,9,3,1,80,4,20,4,2,18,3,16,10
43,No,Travel_Frequently,1386,Research & Development,14,2,Technical Degree,1,37,4,Male,161,2,5,Healthcare Representative,4,Single,7583,22749,1,Y,No,3,1,2,80,1,15,1,3,4,3,2,3
18,No,Travel_Frequently,1382,Support,16,5,Human Resources,1,38,4,Male,69,4,5,Sales Representative,1,Divorced,14671,88026,1,Y,Yes,27,4,3,80,1,33,5,4,17,4,10,4
57,No,Non-Travel,1289,Software,22,1,Human Resources,1,39,3,Male,43,2,2,Research Scientist,1,Married,8001,240030,4,Y,Yes,0,4,1,80,2,15,2,1,12,1,2,7
58,No,Travel_Frequently,675,Research & Development,45,1,Technical Degree,1,40,1,Male,198,1,1,Sales Executive,4,Single,24014,192112,3,Y,Yes,21,1,4,80,4,4,5,3,3,3,2,2
60,No,Non-Travel,717,Software,41,4,Other,1,41,4,Male,79,2,4,Developer,1,Married,30101,541818,7,Y,Yes,41,2,4,80,2,2,4,4,1,1,1,1
30,Yes,Travel_Frequently,721,Hardware,41,5,Life Sciences,1,42,3,Female,169,2,3,Research Scientist,4,Divorced,15914,95484,6,Y,No,16,3,1,80,1,28,4,4,16,5,1,16
37,No,Travel_Rarely,1109,Sales,7,2,Human Resources,1,43,2,Female,74,1,3,Manager,1,Single,25395,126975,2,Y,No,15,4,2,80,3,27,3,1,19,16,8,18
26,Yes,Travel_Frequently,608,Sales,19,5,Life Sciences,1,44,4,Female,165,1,3,Human Resources,3,Married,26668,773372,4,Y,Yes,12,2,2,80,4,32,2,1,28,28,10,16
45,Yes,Non-Travel,1102,Software,14,5,Human Resources,1,45,2,Male,57,3,2,Research Scientist,2,Married,24381,585144,4,Y,No,22,1,3,80,3,2,6,4,2,1,1,1
29,No,Travel_Frequently,235,Research & Development,36,2,Marketing,1,46,2,Female,58,4,5,Research Director,3,Married,22883,457660,3,Y,Yes,26,2,1,80,3,29,6,2,27,8,8,27
42,Yes,Non-Travel,509,Sales,36,3,Human Resources,1,47,3,Male,51,1,2,Human Resources,1,Married,11901,142812,0,Y,No,26,2,2,80,1,9,5,2,7,2,4,6
55,Yes,Non-Travel,188,Software,3,3,Technical Degree,1,48,3,Male,102,3,1,Laboratory Technician,1,Divorced,48236,1398844,3,Y,No,34,2,4,80,1,38,5,3,22,20,16,12
44,Yes,Travel_Frequently,1195,Human Resources,17,1,Human Resources,1,49,3,Female,129,1,1,Research Director,4,Married,4275,68400,3,Y,Yes,3,4,4,80,2,21,1,1,10,3,10,4
60,Yes,Travel_Rarely,1005,Software,43,1,Marketing,1,50,4,Male,132,3,2,Laboratory Technician,1,Divorced,44633,714128,0,Y,Yes,29,3,3,80,1,22,2,3,1,1,1,1
60,No,Travel_Rarely,476,Hardware,44,1,Marketing,1,51,2,Female,199,1,5,Human Resources,1,Married,26611,266110,4,Y,Yes,6,4,4,80,1,19,6,4,16,3,11,14
37,No,Travel_Rarely,1440,Support,41,1,Other,1,52,1,Female,196,2,1,Developer,1,Divorced,14984,269712,2,Y,Yes,5,3,2,80,4,30,1,4,15,7,9,11
21,Yes,Travel_Frequently,938,Human Resources,3,1,Marketing,1,53,4,Female,30,1,1,Manufacturing Director,3,Divorced,1262,23978,0,Y,Yes,23,1,3,80,1,23,4,4,17,5,8,11
32,No,Non-Travel,1287,Support,46,2,Life Sciences,1,54,1,Male,108,1,5,Research Director,3,Married,7259,137921,7,Y,Yes,24,2,2,80,3,38,5,4,27,19,3,1
36,Yes,Non-Travel,778,Support,26,5,Marketing,1,55,2,Male,53,1,2,Research Director,2,Married,20850,62550,5,Y,Yes,0,4,2,80,2,6,1,3,5,4,2,3
42,Yes,Non-Travel,664,Sales,40,5,Marketing,1,56,3,Female,84,2,5,Research Director,1,Married,12018,264396,6,Y,No,5,3,4,80,4,4,1,3,2,1,2,1
49,Yes,Travel_Rarely,487,Software,39,4,Marketing,1,57,3,Male,131,4,1,Research Director,3,Married,41792,250752,2,Y,Yes,12,3,3,80,1,19,2,4,13,1,7,1
36,Yes,Travel_Frequently,610,Support,36,5,Marketing,1,58,1,Male,199,4,4,Human Resources,2,Divorced,28116,337392,2,Y,No,5,3,2,80,2,30,2,2,18,10,10,17
56,No,Travel_Rarely,466,Sales,45,1,Marketing,1,59,4,Male,171,4,1,Human Resources,4,Divorced,46778,1075894,6,Y,Yes,22,4,1,80,1,33,4,4,7,6,7,7
44,Yes,Non-Travel,414,Human Resources,12,1,Life Sciences,1,60,1,Female,57,4,4,Human Resources,2,Divorced,13748,343700,5,Y,Yes,48,2,3,80,3,28,4,1,10,2,1,1
46,Yes,Non-Travel,892,Hardware,31,2,Marketing,1,61,2,Male,177,3,5,Laboratory Technician,4,Married,37129,222774,6,Y,No,18,1,2,80,4,30,1,1,29,1,16,20
33,Yes,Non-Travel,1416,Support,41,4,Life Sciences,1,62,2,Female,104,4,5,Laboratory Technician,1,Divorced,2539,40624,7,Y,No,32,2,3,80,3,8,4,2,4,2,3,3
57,Yes,Travel_Frequently,131,Support,10,2,Medical,1,63,1,Female,134,3,5,Human Resources,1,Married,28475,56950,0,Y,Yes,9,4,1,80,1,39,2,1,24,3,12,1
38,Yes,Travel_Frequently,802,Human Resources,39,1,Other,1,64,3,Male,63,2,5,Human Resources,4,Single,26860,322320,5,Y,Yes,15,1,4,80,2,17,1,2,16,1,11,13
37,Yes,Travel_Frequently,923,Sales,4,4,Life Sciences,1,65,1,Male,132,1,1,Manufacturing Director,1,Married,35694,499716,1,Y,No,3,3,3,80,1,35,2,4,23,13,10,20
28,Yes,Travel_Rarely,1242,Sales,15,3,Technical Degree,1,66,3,Female,101,2,4,Sales Representative,3,Divorced,3058,12232,8,Y,Yes,18,2,4,80,4,12,1,3,6,5,5,4
34,Yes,Travel_Frequently,306,Sales,12,5,Human Resources,1,67,2,Male,181,3,1,Sales Representative,1,Married,45541,500951,7,Y,No,45,3,4,80,2,5,6,1,5,1,4,5
52,Yes,Travel_Frequently,969,Human Resources,37,5,Technical Degree,1,68,2,Male,143,2,2,Manager,1,Single,45786,1007292,7,Y,Yes,40,2,3,80,4,39,3,2,6,3,1,5
31,Yes,Non-Travel,1249,Research & Development,41,4,Medical,1,69,4,Female,40,1,3,Manufacturing Director,1,Single,37913,758260,3,Y,Yes,37,3,1,80,2,2,2,1,2,2,1,1
34,Yes,Travel_Frequently,673,Hardware,39,5,Medical,1,70,3,Male,117,3,3,Sales Representative,3,Married,41121,1110267,1,Y,Yes,26,4,2,80,1,27,2,3,25,14,25,17
36,No,Travel_Frequently,216,Sales,19,3,Technical Degree,1,71,3,Male,145,3,1,Research Scientist,2,Married,29185,58370,4,Y,No,47,4,4,80,2,5,5,3,5,2,1,4
30,Yes,Non-Travel,900,Human Resources,45,4,Technical Degree,1,72,4,Male,34,1,5,Human Resources,3,Divorced,20667,496008,8,Y,Yes,23,1,2,80,1,26,4,3,9,7,9,4
52,Yes,Travel_Frequently,565,Research & Development,41,1,Life Sciences,1,73,1,Female,94,2,2,Developer,4,Single,23554,447526,7,Y,Yes,20,4,3,80,3,6,6,1,4,2,4,4
51,No,Travel_Rarely,423,Support,37,2,Human Resources,1,74,1,Male,53,1,4,Research Scientist,4,Single,41310,1074060,0,Y,Yes,37,3,1,80,1,18,2,1,12,2,8,1
38,Yes,Travel_Frequently,1086,Research & Development,44,4,Medical,1,75,2,Male,147,4,5,Research Director,4,Single,20824,499776,2,Y,No,7,4,4,80,3,3,1,1,1,1,1,1
28,No,Travel_Rarely,787,Hardware,20,1,Other,1,76,2,Female,200,3,2,Sales Representative,4,Single,37831,302648,5,Y,Yes,45,3,3,80,1,22,1,1,6,6,6,3
41,Yes,Non-Travel,474,Research & Development,39,1,Medical,1,77,1,Male,66,4,1,Developer,3,Divorced,41579,249474,0,Y,No,5,4,4,80,1,4,1,1,4,1,3,1
56,No,Non-Travel,181,Sales,2,5,Life Sciences,1,78,1,Male,143,4,4,Human Resources,3,Divorced,28060,813740,5,Y,No,16,1,1,80,4,21,6,4,12,4,5,6
56,Yes,Travel_Frequently,1388,Sales,16,2,Technical Degree,1,79,1,Male,133,3,4,Sales Representative,4,Single,43172,518064,3,Y,Yes,2,1,1,80,3,39,5,2,14,12,11,5
40,Yes,Travel_Frequently,751,Human Resources,43,2,Marketing,1,80,1,Female,156,1,3,Sales Executive,2,Divorced,12751,89257,2,Y,Yes,46,3,1,80,1,35,3,4,25,23,13,16
28,No,Travel_Rarely,912,Hardware,32,4,Medical,1,81,1,Female,152,3,3,Sales Representative,1,Married,12478,286994,5,Y,Yes,39,2,3,80,3,19,6,4,18,5,11,9
43,No,Non-Travel,601,Support,37,5,Marketing,1,82,3,Male,158,3,5,Developer,1,Divorced,24878,174146,3,Y,No,5,3,4,80,2,5,5,2,4,4,2,1
36,Yes,Non-Travel,850,Software,15,5,Medical,1,83,4,Male,139,2,1,Research Director,1,Married,33834,845850,2,Y,Yes,15,1,2,80,4,5,2,3,4,1,4,2
45,Yes,Travel_Frequently,900,Research & Development,43,5,Human Resources,1,84,3,Male,95,3,5,Sales Representative,1,Single,45523,773891,0,Y,No,21,4,2,80,4,20,5,3,2,2,1,2
20,Yes,Travel_Frequently,123,Hardware,24,2,Medical,1,85,3,Female,144,1,2,Research Director,2,Divorced,43121,819299,6,Y,No,17,2,1,80,4,7,2,3,2,1,1,2
33,Yes,Travel_Frequently,1438,Support,8,1,Technical Degree,1,86,2,Male,195,3,5,Healthcare Representative,4,Married,16064,16064,8,Y,Yes,19,1,3,80,4,15,1,2,2,2,1,2
29,No,Non-Travel,607,Support,24,4,Life Sciences,1,87,4,Male,84,3,4,Laboratory Technician,2,Divorced,41405,414050,5,Y,Yes,21,3,3,80,4,16,2,3,2,1,2,1
21,Yes,Non-Travel,347,Hardware,29,2,Technical Degree,1,88,4,Male,153,4,1,Sales Representative,3,Married,38829,77658,8,Y,No,25,2,4,80,2,37,5,2,17,11,2,6
20,Yes,Non-Travel,595,Research & Development,35,1,Life Sciences,1,89,3,Female,188,2,5,Healthcare Representative,4,Married,4099,28693,7,Y,Yes,42,2,1,80,3,21,5,2,8,1,8,8
56,Yes,Non-Travel,1444,Support,8,5,Medical,1,90,1,Female,143,1,2,Manufacturing Director,1,Married,20925,418500,0,Y,No,11,2,4,80,4,19,4,4,3,2,2,3
27,Yes,Travel_Frequently,905,Sales,43,4,Medical,1,91,4,Female,122,1,3,Healthcare Representative,4,Married,34058,1021740,5,Y,No,29,4,4,80,2,40,6,1,28,27,17,21
56,Yes,Non-Travel,782,Software,37,5,Marketing,1,92,3,Female,70,2,4,Human Resources,1,Married,28408,454528,6,Y,Yes,40,4,2,80,2,15,3,3,10,3,5,2
24,No,Non-Travel,1332,Human Resources,12,4,Other,1,93,1,Female,42,2,4,Research Scientist,4,Single,19567,469608,2,Y,Yes,11,2,2,80,3,26,5,2,25,6,4,1
48,Yes,Non-Travel,1408,Software,34,5,Technical Degree,1,94,4,Female,40,4,1,Research Director,1,Single,30500,91500,4,Y,No,42,3,2,80,3,31,5,1,3,2,1,2
19,Yes,Non-Travel,550,Human Resources,5,4,Other,1,95,2,Female,179,4,3,Human Resources,1,Divorced,20640,330240,5,Y,No,42,2,1,80,3,14,5,3,6,4,6,3
45,Yes,Non-Travel,577,Software,38,3,Life Sciences,1,96,2,Male,82,1,3,Sales Executive,1,Single,26025,156150,8,Y,No,8,1,4,80,1,2,2,2,2,2,1,1
59,No,Travel_Frequently,282,Hardware,16,5,Medical,1,97,4,Female,88,1,2,Laboratory Technician,3,Single,19586,156688,1,Y,No,45,4,4,80,2,34,2,4,28,24,28,20
25,Yes,Non-Travel,542,Support,26,2,Other,1,98,2,Female,137,4,2,Manager,2,Married,6771,6771,7,Y,Yes,20,2,4,80,1,13,5,4,2,1,1,1
25,Yes,Travel_Frequently,918,Research & Development,21,5,Human Resources,1,99,3,Female,44,2,4,Human Resources,3,Divorced,34265,102795,5,Y,No,31,3,2,80,4,9,1,2,8,8,5,6
35,Yes,Non-Travel,459,Software,10,3,Technical Degree,1,100,2,Male,148,1,5,Manufacturing Director,1,Married,24939,299268,6,Y,Yes,18,2,1,80,4,36,2,1,5,3,1,5
31,No,Travel_Frequently,1321,Sales,10,4,Life Sciences,1,101,4,Male,168,1,3,Developer,3,Married,4973,34811,7,Y,Yes,47,4,4,80,3,23,2,2,17,2,5,13
51,Yes,Non-Travel,229,Support,23,4,Other,1,102,2,Male,145,4,4,Manager,2,Single,44390,355120,4,Y,Yes,49,3,2,80,4,28,3,2,4,1,2,2
46,No,Travel_Frequently,500,Software,26,3,Human Resources,1,103,3,Female,194,4,4,Sales Executive,3,Divorced,28409,568180,8,Y,Yes,15,3,4,80,3,10,3,2,6,2,4,2
28,No,Travel_Frequently,1125,Support,20,1,Human Resources,1,104,3,Female,78,3,1,Manager,3,Single,17870,268050,0,Y,No,20,3,2,80,4,12,2,4,7,2,6,4
42,Yes,Travel_Rarely,573,Software,18,2,Other,1,105,4,Female,165,4,1,Sales Representative,3,Single,24637,344918,5,Y,Yes,17,3,2,80,1,14,2,4,10,7,6,8
43,Yes,Non-Travel,1108,Human Resources,24,4,Marketing,1,106,2,Female,67,3,1,Sales Representative,4,Divorced,44892,134676,0,Y,No,41,4,3,80,3,30,4,1,11,7,11,11
31,Yes,Travel_Frequently,1013,Support,40,5,Other,1,107,3,Male,89,2,1,Manufacturing Director,4,Single,35503,532545,3,Y,No,8,2,3,80,2,20,5,4,2,2,2,1
47,Yes,Travel_Rarely,1203,Sales,22,2,Human Resources,1,108,2,Male,42,3,3,Research Director,2,Divorced,27473,82419,4,Y,No,35,4,2,80,2,14,1,3,5,4,5,5
45,No,Non-Travel,1096,Research & Development,41,5,Life Sciences,1,109,2,Male,122,3,1,Human Resources,1,Single,15429,200577,2,Y,Yes,27,2,2,80,2,5,5,3,5,3,5,4
57,Yes,Travel_Rarely,514,Human Resources,16,4,Life Sciences,1,110,1,Male,46,1,3,Healthcare Representative,3,Divorced,3414,30726,0,Y,Yes,39,2,3,80,2,5,4,4,4,3,2,1
24,No,Travel_Frequently,1248,Human Resources,43,3,Technical Degree,1,111,3,Female,103,2,4,Developer,3,Married,38028,950700,6,Y,No,29,1,2,80,2,21,5,4,3,3,3,1
49,Yes,Travel_Rarely,1172,Hardware,12,3,Other,1,112,2,Male,96,4,2,Manager,3,Married,49300,591600,5,Y,Yes,42,1,1,80,1,1,3,1,1,1,1,1
54,Yes,Non-Travel,1304,Human Resources,38,5,Life Sciences,1,113,4,Female,54,3,2,Laboratory Technician,1,Single,4481,26886,3,Y,Yes,13,3,4,80,4,33,5,4,18,11,16,11
38,No,Travel_Frequently,1475,Hardware,16,4,Medical,1,114,4,Female,86,3,1,Research Director,2,Single,7918,237540,7,Y,No,7,2,1,80,2,20,1,1,14,4,9,1
60,No,Travel_Rarely,1074,Hardware,12,2,Technical Degree,1,115,1,Male,80,1,4,Sales Executive,1,Divorced,2105,56835,5,Y,No,20,1,2,80,4,16,1,2,15,7,1,5
53,Yes,Travel_Rarely,628,Sales,5,1,Life Sciences,1,116,1,Male,98,1,4,Sales Representative,3,Married,7275,196425,8,Y,Yes,14,3,1,80,2,2,3,2,1,1,1,1
33,Yes,Non-Travel,547,Research & Development,19,2,Human Resources,1,117,4,Female,150,2,2,Human Resources,4,Married,24055,360825,7,Y,Yes,25,4,4,80,1,6,6,2,2,2,1,2
35,Yes,Travel_Rarely,1045,Research & Development,20,2,Life Sciences,1,118,1,Male,152,4,4,Healthcare Representative,3,Divorced,50906,152718,1,Y,Yes,24,3,4,80,4,19,5,4,9,1,3,4
39,No,Travel_Rarely,195,Software,21,1,Marketing,1,119,3,Male,157,3,4,Developer,1,Married,23594,70782,2,Y,Yes,34,4,1,80,1,8,6,4,7,7,5,2
30,Yes,Travel_Rarely,1498,Research & Development,14,2,Human Resources,1,120,1,Male,171,3,1,Manufacturing Director,4,Single,21658,194922,6,Y,No,32,4,4,80,1,18,3,3,7,7,7,4
45,Yes,Travel_Rarely,842,Software,1,3,Medical,1,121,1,Male,161,3,5,Laboratory Technician,1,Married,38880,194400,8,Y,Yes,44,1,4,80,4,21,5,2,7,1,2,2
56,No,Non-Travel,1400,Sales,23,3,Medical,1,122,2,Male,149,2,3,Research Director,2,Single,3639,83697,4,Y,Yes,0,1,4,80,4,20,3,3,5,1,3,2
29,Yes,Non-Travel,1447,Support,49,5,Other,1,123,2,Female,80,2,4,Human Resources,4,Divorced,36683,623611,6,Y,Yes,29,3,3,80,2,27,1,1,4,4,2,3
59,No,Non-Travel,402,Support,46,5,Technical Degree,1,124,1,Female,187,1,3,Healthcare Representative,3,Single,39517,829857,6,Y,Yes,44,4,1,80,1,37,5,2,29,19,2,13
33,No,Travel_Rarely,548,Sales,25,3,Other,1,125,2,Female,198,3,1,Sales Representative,4,Married,36001,684019,3,Y,No,7,3,3,80,1,23,5,1,2,2,1,2
57,Yes,Non-Travel,275,Research & Development,40,2,Marketing,1,126,4,Male,112,4,1,Manager,3,Single,2858,20006,5,Y,No,48,2,1,80,2,4,6,1,4,4,4,4
29,No,Travel_Frequently,454,Human Resources,9,5,Other,1,127,3,Female,120,2,2,Developer,4,Married,34985,979580,5,Y,No,23,1,2,80,4,8,5,1,5,1,3,2
59,Yes,Non-Travel,977,Sales,13,3,Human Resources,1,128,1,Male,156,1,4,Healthcare Representative,4,Single,27693,83079,2,Y,No,3,1,1,80,1,3,3,2,1,1,1,1
29,Yes,Non-Travel,994,Human Resources,38,5,Human Resources,1,129,1,Female,38,2,4,Research Director,3,Married,27124,732348,0,Y,Yes,2,1,1,80,2,20,2,3,3,2,1,1
23,Yes,Travel_Frequently,1360,Support,50,3,Medical,1,130,4,Female,95,4,1,Manager,4,Divorced,49999,1249975,2,Y,Yes,22,4,2,80,3,17,4,2,5,4,3,4
39,Yes,Non-Travel,833,Human Resources,32,1,Technical Degree,1,131,4,Female,132,2,2,Manager,2,Married,5130,20520,5,Y,Yes,21,2,1,80,2,35,5,4,5,4,3,1
54,Yes,Travel_Rarely,1335,Human Resources,4,5,Technical Degree,1,132,3,Female,127,4,3,Research Scientist,2,Divorced,28274,735124,3,Y,Yes,5,1,4,80,4,40,5,1,7,1,1,1
47,No,Non-Travel,859,Human Resources,33,4,Human Resources,1,133,4,Male,174,2,5,Healthcare Representative,4,Married,13452,242136,1,Y,Yes,11,1,4,80,1,1,5,3,1,1,1,1
25,No,Non-Travel,1232,Human Resources,47,1,Technical Degree,1,134,3,Male,104,3,5,Sales Executive,4,Divorced,22916,229160,7,Y,Yes,17,4,2,80,4,34,3,4,11,8,10,9
60,No,Non-Travel,344,Hardware,17,5,Technical Degree,1,135,1,Female,37,1,5,Healthcare Representative,4,Married,22860,571500,8,Y,No,47,1,3,80,2,2,2,1,1,1,1,1
19,No,Non-Travel,1482,Human Resources,13,4,Marketing,1,136,1,Male,153,4,3,Sales Executive,4,Divorced,26560,637440,6,Y,Yes,47,4,1,80,1,10,3,3,2,1,1,1
55,Yes,Travel_Frequently,698,Sales,7,1,Life Sciences,1,137,3,Female,182,2,4,Human Resources,1,Married,13037,117333,6,Y,Yes,36,2,4,80,4,11,3,4,7,3,4,2
24,Yes,Travel_Rarely,455,Sales,6,3,Life Sciences,1,138,4,Male,75,3,5,Sales Representative,3,Married,50097,751455,6,Y,No,26,3,1,80,1,5,6,1,3,3,3,3
52,No,Travel_Rarely,1196,Research & Development,43,5,Technical Degree,1,139,2,Female,173,3,2,Research Scientist,2,Single,11621,278904,8,Y,No,36,2,3,80,3,34,1,1,16,9,5,4
30,No,Travel_Rarely,1285,Human Resources,42,5,Other,1,140,2,Male,112,4,1,Healthcare Representative,1,Divorced,31532,315320,3,Y,Yes,43,1,1,80,4,34,2,2,14,2,12,14
60,No,Travel_Frequently,822,Human Resources,30,4,Life Sciences,1,141,2,Male,30,1,5,Research Scientist,3,Single,50620,404960,0,Y,Yes,18,1,4,80,2,9,2,2,4,2,1,3
